relationship	PC	prediction_contrib
Compound—causes—Emotional disorder	9	0.0045878
Compound—causes—Dependence	42	0.004548
Compound—causes—Choreoathetosis	35	0.0045284
Compound—causes—Sensory loss	61	0.0045254
Compound—causes—Stomatitis	207	0.0045239
Compound—causes—Neutropenia	130	0.0045074
Compound—causes—Cerebellar syndrome	42	0.0044817
Compound—causes—Urinary tract disorder	198	0.004477
Compound—binds—KCNS1	90	0.0044537
Compound—causes—Urethral disorder	198	0.0044439
Compound—causes—Ecchymosis	135	0.0044117
Compound—causes—Cramps of lower extremities	170	0.0044102
Compound—causes—Tongue oedema	66	0.0043812
Compound—causes—Scotoma	131	0.0043798
Compound—binds—KCNA5	91	0.0043243
Compound—causes—Tongue disorder	91	0.0043235
Compound—causes—Hypomania	37	0.0042935
Compound—causes—Airway obstruction NOS	8	0.0042808
Compound—binds—KCNB2	87	0.0042515
Compound—binds—KCNH4	87	0.0042515
Compound—binds—KCNG4	87	0.0042515
Compound—binds—CACNB2	290	0.0042017
Compound—binds—CALM1	929	0.0041915
Compound—binds—KCNH5	87	0.0041602
Compound—causes—Leukocytosis	105	0.0041601
Compound—causes—Ventricular extrasystoles	78	0.0041352
Compound—causes—Withdrawal seizures	9	0.0041338
Compound—causes—Drug withdrawal convulsions	9	0.0041338
Compound—causes—Gingival hyperplasia	42	0.0041164
Compound—causes—Paranoia	78	0.0041093
Compound—causes—Emotional disturbance NOS	4	0.004097
Compound—binds—KCNS2	87	0.0040914
Compound—binds—ALPL	51	0.0040505
Compound—causes—Dysmenorrhoea	136	0.0040459
Compound—binds—KCNG1	88	0.0040428
Compound—causes—Paralysis	96	0.00401
Compound—causes—Paranoid reaction	49	0.0040099
Compound—binds—ABCC1	331	0.0040031
Compound—binds—SLC22A3	266	0.0039971
Compound—binds—KCNV2	87	0.0039926
Compound—binds—ADRB1	714	0.0039807
Compound—binds—ADRA2C	992	0.0039736
Compound—binds—KCNG3	87	0.0039554
Compound—causes—Myopia transient	1	0.0039282
Compound—causes—Flushing	181	0.0039118
Compound—binds—HDAC2	312	0.0039117
Compound—binds—CALM2	928	0.0038959
Compound—causes—Hirsutism	70	0.0038545
Compound—causes—Contusion	64	0.0038489
Compound—binds—SMPD1	109	0.0038481
Compound—causes—Bladder pain	126	0.0038188
Compound—causes—Mouth ulceration	144	0.0038078
Compound—causes—Libido increased	77	0.0037945
Compound—causes—Abdominal pain upper	85	0.0037702
Compound—causes—Breast disorder	129	0.0037637
Compound—causes—Galactorrhoea	56	0.0037628
Compound—causes—Migraine	162	0.0037541
Compound—causes—Hyperacusis	45	0.0037424
Compound—causes—Gastritis	190	0.0037402
Compound—causes—Erythema	145	0.003733
Compound—causes—Haemorrhage	161	0.0037317
Compound—causes—Injection site pain	65	0.0037239
Compound—causes—Manic psychosis	40	0.0037015
Compound—causes—Skin discolouration	130	0.0036979
Compound—causes—Vaginal inflammation	120	0.0036936
Compound—binds—KCNQ5	89	0.0036749
Compound—causes—Abnormal vision	137	0.0036648
Compound—causes—Hyperkalaemia	37	0.0036601
Compound—binds—KCNS3	167	0.0036581
Compound—causes—Meningitis aseptic	4	0.0036454
Compound—binds—OGDH	81	0.0036333
Compound—causes—Shivering	7	0.0036043
Compound—binds—CYP11B2	103	0.0035997
Compound—binds—BCAT1	77	0.0035948
Compound—causes—Angiopathy	140	0.0035701
Compound—binds—KCNG2	164	0.0035677
Compound—causes—Abnormal dreams	106	0.0035669
Compound—causes—Obstructive airways disorder	10	0.0035662
Compound—binds—SLCO1B3	144	0.003562
Compound—causes—Parosmia	72	0.0035604
Compound—causes—Drug eruption	54	0.0035003
Compound—binds—KCNA10	84	0.0034997
Compound—causes—Depressed mood	43	0.003497
Compound—causes—Otitis media	97	0.0034925
Compound—causes—Vaginal infection	120	0.0034869
Compound—causes—Deafness	151	0.0034795
Compound—causes—Grand mal convulsion	42	0.003456
Compound—binds—ND1	210	0.0034538
Compound—causes—Epilepsy	17	0.003449
Compound—causes—Eye pain	137	0.0034409
Compound—causes—Haemoglobin	136	0.003437
Compound—causes—Movement disorder	43	0.0034283
Compound—causes—Completed suicide	77	0.0034232
Compound—causes—Personality change	4	0.0033577
Compound—causes—Atelectasis	20	0.0033443
Compound—causes—Myopia	10	0.0033193
Compound—causes—Musculoskeletal stiffness	85	0.0032838
Compound—binds—CA10	13	0.0032633
Compound—causes—Tooth disorder	81	0.0032405
Compound—causes—Rectal haemorrhage	91	0.0032305
Compound—causes—Melaena	78	0.0031999
Compound—causes—Feeling drunk	25	0.003187
Compound—binds—KCNA7	83	0.0031826
Compound—causes—Enuresis	16	0.0031462
Compound—causes—Hepatic function abnormal	65	0.0031458
Compound—binds—KCNH6	90	0.0031429
Compound—causes—Oliguria	79	0.0031416
Compound—causes—Paraesthesia oral	56	0.0031354
Compound—causes—Rash morbilliform	1	0.0030743
Compound—binds—SLC22A4	240	0.0030725
Compound—causes—Suicide	60	0.0030525
Compound—binds—SLCO2A1	69	0.00304
Compound—causes—Vesiculobullous rash	54	0.0030193
Compound—resembles—Benzphetamine	3	0.0030169
Compound—causes—Forgetfulness	7	0.0030012
Compound—causes—Ear infection	26	0.0029944
Compound—causes—Akathisia	32	0.002991
Compound—causes—Cognitive disorder	48	0.0029906
Compound—causes—Block heart	41	0.0029457
Compound—causes—Atrial fibrillation	78	0.0029377
Compound—causes—Neuritis	44	0.0029343
Compound—causes—Oesophagitis	105	0.0029168
Compound—binds—HDAC9	202	0.0029042
Compound—causes—Anaemia macrocytic	16	0.0028897
Compound—causes—Ventricular bigeminy	10	0.0028896
Compound—causes—Congenital anomaly	21	0.0028865
Compound—causes—Developmental delay	21	0.0028865
Compound—causes—Menorrhagia	77	0.0028723
Compound—binds—CACNA1C	219	0.0028376
Compound—causes—Cystitis noninfective	90	0.002833
Compound—causes—Bone disorder	40	0.0028288
Compound—causes—Cramp muscle	76	0.0028172
Compound—causes—Blood alkaline phosphatase increased	90	0.0028157
Compound—causes—Withdrawal syndrome	18	0.0028069
Compound—causes—Cystitis	90	0.0028006
Compound—causes—Bundle branch block	33	0.0027995
Compound—causes—Anaphylactoid reaction	71	0.0027856
Compound—causes—Coagulopathy	71	0.0027581
Compound—binds—GSTP1	101	0.0027554
Compound—causes—Atrial arrhythmia	13	0.0027504
Compound—causes—Ileus	29	0.0027424
Compound—binds—SLCO1C1	74	0.0027293
Compound—causes—Pulmonary embolism	89	0.0027262
Compound—causes—Urine abnormality	50	0.002724
Compound—binds—CALM3	882	0.00272
Compound—causes—Aphasia	70	0.0027046
Compound—causes—Hemiplegia	42	0.0027016
Compound—causes—Numbness	28	0.0026941
Compound—causes—Ulcerative stomatitis	45	0.0026822
Compound—causes—Gingivitis	77	0.0026374
Compound—binds—DRD5	337	0.002626
Compound—causes—Muscle spasticity	9	0.0026021
Compound—causes—Joint swelling	40	0.0025847
Compound—binds—KCNH7	107	0.0025833
Compound—causes—Glycosuria	32	0.0025677
Compound—causes—Retrograde amnesia	3	0.0025488
Compound—causes—Pneumothorax	24	0.0025362
Compound—causes—Aspartate aminotransferase increased	96	0.0025223
Compound—causes—Hyperaesthesia	77	0.0025131
Compound—causes—Traumatic liver injury	6	0.0025024
Compound—causes—Distress	6	0.0024851
Compound—causes—Eczema	98	0.0024755
Compound—causes—Nephrosis	12	0.0024526
Compound—causes—Faecal incontinence	54	0.0024494
Compound—causes—Phosphatase alkaline increased	65	0.0024083
Compound—causes—Ventricular tachycardia	34	0.002405
Compound—causes—Behavior disorder	6	0.0024035
Compound—causes—Myasthenic syndrome	2	0.0023925
Compound—causes—Hypercapnia	2	0.002391
Compound—causes—Carbon dioxide increased	2	0.002391
Compound—causes—Viral infection	81	0.0023898
Compound—causes—Atrial flutter	24	0.0023847
Compound—causes—Hypophosphataemia	35	0.0023815
Compound—causes—Ageusia	77	0.002378
Compound—causes—Bronchospasm	66	0.0023618
Compound—binds—CYP19A1	124	0.0023547
Compound—causes—Vasculitis	45	0.0023492
Compound—causes—Rhabdomyolysis	55	0.0023482
Compound—causes—Inappropriate antidiuretic hormone secretion	24	0.0023284
Compound—causes—Abdominal discomfort	71	0.0023178
Compound—resembles—Desflurane	20	0.0022983
Compound—causes—Urine analysis abnormal	48	0.0022914
Compound—resembles—Isoflurane	20	0.0022887
Compound—resembles—Zopiclone	5	0.0022581
Compound—causes—Circumoral paresthesia	30	0.0022463
Compound—causes—Dermatitis contact	55	0.0022157
Compound—causes—Snoring	4	0.0022049
Compound—causes—Haematemesis	56	0.0021997
Compound—causes—Disorder sight	30	0.002163
Compound—causes—Neck stiffness	29	0.0021546
Compound—causes—Thrombocytopenic purpura	15	0.0021492
Compound—causes—Haemolytic anaemia	24	0.0021273
Compound—causes—Acne	50	0.0021226
Compound—causes—Acute coronary syndrome	81	0.0021103
Compound—causes—Necrosis	24	0.002109
Compound—causes—Myocardial infarction	81	0.0020984
Compound—causes—Lightheadedness	42	0.0020962
Compound—causes—Renal pain	45	0.0020905
Compound—causes—Arthropathy	73	0.0020862
Compound—binds—NEK11	3	0.0020805
Compound—resembles—Eszopiclone	4	0.0020786
Compound—binds—CES1	21	0.0020761
Compound—causes—Metabolic disorder	6	0.0020752
Compound—causes—Pulmonary oedema	51	0.0020695
Compound—causes—Hepatic necrosis	7	0.002061
Compound—causes—Menstrual disorder	64	0.0020591
Compound—causes—Increased bronchial secretion	16	0.0020442
Compound—causes—Brain oedema	20	0.0020251
Compound—causes—Skin mass	24	0.0020127
Compound—causes—Alcohol intoxication	2	0.0019977
Compound—causes—Cerebral haemorrhage	28	0.0019946
Compound—causes—Panic reaction	15	0.0019854
Compound—causes—Nuchal rigidity	29	0.0019774
Compound—binds—CACNA1S	130	0.0019751
Compound—causes—Gastric ulcer	32	0.0019713
Compound—binds—RALBP1	121	0.0019697
Compound—causes—Arrhythmia supraventricular	13	0.001969
Compound—resembles—Methyprylon	4	0.001952
Compound—causes—Neuralgia	40	0.0019508
Compound—causes—Gastroenteritis	78	0.0019415
Compound—causes—Clonus	1	0.0019373
Compound—causes—Sweating increased	85	0.0019329
Compound—causes—Tubulointerstitial nephritis	21	0.0019304
Compound—causes—Hypocalcaemia	42	0.0019005
Compound—causes—Panic attack	24	0.0018999
Compound—causes—Polydipsia	12	0.0018854
Compound—causes—Pharyngolaryngeal pain	17	0.0018829
Compound—causes—Haemoptysis	45	0.0018801
Compound—causes—Respiratory insufficiency	12	0.00188
Compound—causes—Cerebrovascular accident	56	0.0018719
Compound—causes—Thyroid function abnormal	6	0.0018714
Compound—causes—Laryngeal pain	17	0.0018647
Compound—causes—Bone marrow depression	32	0.0018559
Compound—binds—CA11	12	0.0018323
Compound—resembles—Paramethadione	2	0.0018318
Compound—causes—Upper respiratory tract infection	89	0.0018299
Compound—causes—Acidosis	35	0.0018274
Compound—causes—Otitis externa	21	0.0018258
Compound—causes—Glossitis	80	0.0018199
Compound—causes—Neuroleptic malignant syndrome	16	0.0018194
Compound—causes—Apraxia	12	0.0018118
Compound—causes—Talkativeness	2	0.0018111
Compound—causes—Head injury	2	0.0018018
Compound—causes—Hearing impaired	55	0.0017983
Compound—causes—Hyperpyrexia	10	0.001798
Compound—causes—Tachypnoea	7	0.0017856
Compound—causes—Amenorrhoea	60	0.0017666
Compound—causes—Hypothyroidism	45	0.0017619
Compound—binds—CACNA1F	27	0.0017551
Compound—causes—Lymphocytosis	25	0.0017364
Compound—binds—ADRB2	355	0.0017297
Compound—causes—Breast enlargement	33	0.0017071
Compound—causes—Subdural haematoma	12	0.0017068
Compound—causes—Ventricular fibrillation	25	0.0016987
Compound—causes—Repetitive speech	1	0.0016947
Compound—binds—AOC3	7	0.0016882
Compound—causes—Lassitude	6	0.0016834
Compound—causes—Pseudolymphoma	16	0.0016827
Compound—causes—Nasal congestion	41	0.0016798
Compound—causes—Abnormal ejaculation	15	0.0016793
Compound—causes—Glaucoma	36	0.0016481
Compound—causes—Hypoglycaemia	63	0.001646
Compound—resembles—Enflurane	8	0.0016443
Compound—binds—NTRK1	276	0.0016362
Compound—causes—Extensor plantar response	6	0.001634
Compound—causes—Salivation	8	0.0016306
Compound—causes—Hypomagnesaemia	13	0.0016294
Compound—causes—Ejaculation disorder	24	0.0016217
Compound—causes—Nephritis interstitial	15	0.0016185
Compound—causes—Loss of libido	25	0.0015902
Compound—causes—Extrasystoles	22	0.0015895
Compound—binds—ACADSB	70	0.0015674
Compound—causes—Drug interaction	56	0.0015622
Compound—causes—Dry skin	70	0.0015565
Compound—causes—Altered visual depth perception	4	0.0015537
Compound—causes—Renal failure acute	44	0.0015448
Compound—causes—Dependence physiological	12	0.0015435
Compound—causes—Toothache	31	0.0015423
Compound—causes—Meningitis	20	0.0015399
Compound—causes—Pain in extremity	56	0.0015343
Compound—binds—AOX1	105	0.0015342
Compound—causes—Excitability	6	0.0015341
Compound—causes—Drug intolerance	3	0.001534
Compound—causes—Alanine aminotransferase increased	60	0.0015255
Compound—causes—Vasodilation	45	0.0015244
Compound—causes—Vasodilation procedure	45	0.0015244
Compound—causes—Drug abuse	16	0.0015087
Compound—causes—Hypoaesthesia oral	9	0.0015072
Compound—causes—Iron deficiency anaemia	6	0.0014994
Compound—causes—Micturition urgency	35	0.001494
Compound—causes—Colitis	50	0.0014863
Compound—binds—CA8	7	0.0014744
Compound—causes—Epigastric discomfort	15	0.0014594
Compound—causes—Drooling	9	0.0014588
Compound—causes—Ear disorder	25	0.0014582
Compound—causes—Sedation	4	0.0014533
Compound—causes—Muscle rigidity	7	0.00144
Compound—binds—SLC16A1	158	0.0014305
Compound—causes—Creatinine increased	29	0.00143
Compound—causes—Cholelithiasis	32	0.001426
Compound—causes—Phlebitis	55	0.0014161
Compound—causes—Cyanosis	30	0.0014132
Compound—causes—Upset stomach	16	0.0014023
Compound—causes—Gout	33	0.0014021
Compound—causes—Electroencephalogram abnormal	10	0.001395
Compound—causes—Arthritis	56	0.0013877
Compound—causes—Yawning	20	0.0013846
Compound—causes—Action tremor	6	0.0013842
Compound—causes—Neck pain	45	0.0013755
Compound—causes—Illusion	5	0.0013666
Compound—causes—Atrioventricular block complete	8	0.0013618
Compound—causes—Atrioventricular block first degree	6	0.0013585
Compound—causes—Thyroid function test abnormal	6	0.001353
Compound—resembles—Methazolamide	3	0.0013497
Compound—causes—Myopathy	24	0.0013428
Compound—causes—Hepatic enzyme increased	32	0.0013303
Compound—binds—CALY	9	0.0013291
Compound—causes—Alcohol poisoning	2	0.0013275
Compound—causes—Blood creatinine increased	41	0.00132
Compound—causes—Nodal arrhythmia	3	0.0013144
Compound—resembles—Methohexital	24	0.0013141
Compound—causes—Chest discomfort	18	0.0013107
Compound—causes—Gastrointestinal haemorrhage	51	0.0013055
Compound—causes—Sputum increased	9	0.0013033
Compound—binds—CYP4A11	116	0.0012944
Compound—causes—Sepsis	49	0.001291
Compound—causes—Sudden death	16	0.0012894
Compound—causes—Electrolyte imbalance	4	0.0012869
Compound—causes—Osteoporosis	36	0.0012868
Compound—causes—Peripheral embolism	4	0.0012841
Compound—causes—Anorgasmia	9	0.001282
Compound—causes—Hypersomnia	8	0.0012796
Compound—causes—Proctalgia	20	0.0012761
Compound—causes—Mastitis	12	0.0012751
Compound—causes—Altered state of consciousness	18	0.0012662
Compound—causes—Cardiac failure congestive	45	0.0012639
Compound—causes—Gamma-glutamyltransferase increased	35	0.0012546
Compound—causes—Enteritis	15	0.0012502
Compound—causes—Rectal tenesmus	16	0.0012487
Compound—causes—Intracranial pressure increased	13	0.0012471
Compound—causes—Sexual dysfunction	28	0.0012417
Compound—causes—Ketosis	6	0.0012285
Compound—causes—Hepatotoxicity	10	0.0012261
Compound—causes—Electrocardiogram abnormal	22	0.0012184
Compound—causes—Lactation female	6	0.001214
Compound—causes—Swelling	48	0.0012022
Compound—causes—Neuropathy	46	0.0011916
Compound—causes—Oversedation	1	0.0011913
Compound—causes—Derealisation	4	0.001187
Compound—causes—Extrapyramidal symptoms	10	0.0011831
Compound—binds—ORM1	18	0.0011783
Compound—causes—Menstruation irregular	12	0.0011754
Compound—causes—Iritis	20	0.0011728
Compound—causes—Dysphoria	12	0.0011701
Compound—causes—Nephritis	6	0.0011666
Compound—causes—Endocrine disorder	36	0.0011604
Compound—causes—Seborrhoeic dermatitis	35	0.0011582
Compound—causes—Hypochromic anaemia	16	0.0011521
Compound—causes—Nephrotic syndrome	12	0.0011521
Compound—resembles—Bumetanide	5	0.0011518
Compound—causes—Aura	6	0.0011515
Compound—causes—Eructation	45	0.0011515
Compound—causes—Breast pain	45	0.0011473
Compound—causes—Jaundice cholestatic	12	0.0011469
Compound—causes—Paralysis flaccid	1	0.0011455
Compound—causes—Bradyphrenia	9	0.0011371
Compound—causes—Pallor	33	0.0011274
Compound—causes—Ligament sprain	9	0.0011262
Compound—binds—FMO3	108	0.0011232
Compound—causes—Visual field constriction	1	0.0011186
Compound—causes—Stiffness	7	0.0011134
Compound—causes—Miosis	16	0.0011094
Compound—causes—Eye movement disorder	6	0.0010828
Compound—causes—Blood urea increased	25	0.0010777
Compound—binds—H1F0	47	0.0010774
Compound—causes—Breath odour	18	0.0010761
Compound—causes—Oscillopsia	2	0.0010759
Compound—causes—Eruption	4	0.0010672
Compound—causes—Electrocardiogram QRS complex	5	0.0010658
Compound—causes—QRS complex	5	0.0010658
Compound—causes—Skin nodule	9	0.0010633
Compound—causes—Major depression	8	0.0010566
Compound—causes—Diabetic neuropathy	6	0.0010564
Compound—causes—Ankle edema	2	0.0010558
Compound—causes—Hyperlipidaemia	29	0.0010557
Compound—causes—Congenital genital malformation	1	0.0010507
Compound—causes—Metrorrhagia	28	0.0010471
Compound—causes—Nephropathy	16	0.0010439
Compound—causes—Drug level increased	6	0.0010422
Compound—causes—Influenza like illness	28	0.0010396
Compound—causes—Goitre	15	0.0010327
Compound—resembles—Halothane	12	0.0010287
Compound—causes—Blood prolactin increased	6	0.0010256
Compound—binds—ABCC4	116	0.0010222
Compound—causes—Hyperchloraemia	2	0.0010181
Compound—causes—Pancreatitis acute	15	0.0010168
Compound—causes—Encephalitis	4	0.0010148
Compound—causes—Hypernatraemia	15	0.0010123
Compound—causes—Blood uric acid increased	16	0.0010002
Compound—causes—Paresis	15	0.00099986
Compound—causes—Hepatosplenomegaly	2	0.00099844
Compound—causes—Partial hearing loss	5	0.0009866
Compound—resembles—Ropivacaine	7	0.0009833
Compound—causes—Hot flush	40	0.00098309
Compound—causes—Furunculosis	18	0.00097611
Compound—causes—Menopausal symptoms	40	0.00097462
Compound—causes—Blister	20	0.00096328
Compound—causes—Tongue coated	3	0.00095969
Compound—causes—Rigors	21	0.00095552
Compound—causes—Cellulitis	27	0.00095145
Compound—causes—Dry eye	40	0.000948
Compound—causes—Rhinorrhoea	24	0.0009474
Compound—causes—Hernia	16	0.00094304
Compound—causes—Bursitis	18	0.00093234
Compound—binds—ABCC10	45	0.00091847
Compound—resembles—Anisotropine Methylbromide	3	0.00091377
Compound—causes—Psychiatric symptom	2	0.00091266
Compound—causes—Ileus paralytic	9	0.00091099
Compound—causes—White blood cell count decreased	16	0.00091022
Compound—resembles—Pethidine	28	0.00090977
Compound—causes—Laryngitis	30	0.00090372
Compound—causes—Raised liver function tests	12	0.00090084
Compound—causes—Memory loss	5	0.00089783
Compound—causes—Vestibular disorder	8	0.00089155
Compound—causes—Haemorrhoids	24	0.00088899
Compound—causes—Nodal tachycardia	1	0.00088803
Compound—causes—Psoriasis	21	0.00088661
Compound—causes—Reflexes abnormal	2	0.00088538
Compound—causes—Fluid retention	49	0.00088445
Compound—causes—Drug reaction with eosinophilia and systemic symptoms	6	0.00088176
Compound—causes—Injection site haemorrhage	9	0.00088109
Compound—causes—Dysphonia	35	0.00088108
Compound—causes—Conduction disorder	4	0.00088049
Compound—causes—Gastrointestinal symptom NOS	5	0.00087679
Compound—causes—Generalised oedema	30	0.0008645
Compound—causes—Skin odour abnormal	16	0.00086261
Compound—causes—Movements involuntary	3	0.00085728
Compound—causes—Breast neoplasm	8	0.00085539
Compound—causes—Anorectal discomfort	16	0.0008508
Compound—causes—Melanosis	4	0.00085005
Compound—causes—Abnormal faeces	12	0.00084871
Compound—causes—Dreaming excessive	2	0.00084829
Compound—causes—Furuncle	18	0.00084609
Compound—causes—Tendinous contracture	4	0.00084008
Compound—causes—Renal impairment	35	0.00083693
Compound—causes—Abscess periodontal	12	0.00082961
Compound—causes—Oligomenorrhoea	1	0.00082878
Compound—causes—Herpes zoster	24	0.00082709
Compound—causes—Logorrhoea	2	0.00082637
Compound—resembles—Quinethazone	2	0.00082593
Compound—causes—Oculogyric crisis	6	0.00082551
Compound—causes—Torsade de pointes	10	0.00082238
Compound—causes—Body odor	12	0.00082142
Compound—causes—Sinus bradycardia	16	0.0008192
Compound—causes—Asterixis	6	0.00081669
Compound—causes—Intraocular pressure increased	10	0.00081452
Compound—causes—Difficulty focusing eyes	2	0.00080979
Compound—causes—Cerebral infarction	9	0.00080765
Compound—resembles—Ibuprofen	7	0.00080764
Compound—causes—Cholestasis	6	0.00080219
Compound—causes—Dysautonomia	2	0.00080103
Compound—causes—Injection site inflammation	9	0.00080023
Compound—causes—Wheezing	9	0.00079542
Compound—causes—Throat irritation	6	0.00079458
Compound—causes—Hyperplasia	6	0.00078564
Compound—causes—Calculus bladder	2	0.00078507
Compound—causes—Cerebrovascular disorder	10	0.00078389
Compound—causes—Angina pectoris	44	0.00078108
Compound—causes—Urethral pain	6	0.00077528
Compound—causes—Respiratory arrest	6	0.00077104
Compound—causes—Neoplasm	28	0.00076958
Compound—causes—Vaginal moniliasis	20	0.0007686
Compound—causes—Transaminases increased	12	0.0007685
Compound—binds—NAT2	66	0.00076802
Compound—causes—Alcohol intolerance	16	0.00076715
Compound—causes—Foetal disorder	1	0.00076622
Compound—causes—Orofacial dyskinesia	4	0.00075644
Compound—causes—Chondrodystrophy	1	0.00075617
Compound—causes—Xerophthalmia	9	0.00075434
Compound—causes—Epididymitis	12	0.00075245
Compound—binds—UGT1A10	9	0.00075218
Compound—causes—Psychotic depression	4	0.00075204
Compound—causes—Fungal infection	20	0.00074995
Compound—causes—Distress gastrointestinal	2	0.00074623
Compound—causes—Tonic-clonic seizures	2	0.00074027
Compound—causes—Tongue discolouration	6	0.00073986
Compound—causes—Porphyria acute	2	0.00073831
Compound—causes—Vulvovaginal candidiasis	20	0.0007377
Compound—resembles—Hexobarbital	14	0.00073052
Compound—causes—Candida infection	31	0.000725
Compound—causes—Electrocardiogram ST segment depression	3	0.00072482
Compound—causes—Convulsions aggravated	2	0.00072276
Compound—causes—Cardiomegaly	9	0.00072145
Compound—causes—Lacrimal disorder	15	0.00072003
Compound—causes—Pelvic pain	20	0.00071873
Compound—causes—Cutaneous vasculitis	3	0.00071783
Compound—causes—Gastric irritation	3	0.00071223
Compound—causes—Vulvovaginal mycotic infection	20	0.00070946
Compound—causes—Pyelonephritis	12	0.00070783
Compound—causes—Subcutaneous nodule	4	0.00070569
Compound—causes—Hyperbilirubinaemia	14	0.00070554
Compound—causes—Optic atrophy	3	0.00070524
Compound—causes—Tardive dyskinesia	6	0.00070234
Compound—causes—Azotaemia	8	0.00070077
Compound—causes—Muscle contractions involuntary	12	0.00069856
Compound—causes—Sudden unexplained death in epilepsy	2	0.00069454
Compound—causes—Pregnancy	8	0.0006919
Compound—causes—Pharmacokinetic interaction	1	0.00068144
Compound—causes—Supraventricular extrasystoles	7	0.00067454
Compound—causes—Otitis	4	0.00067445
Compound—causes—Disseminated intravascular coagulation	6	0.00067284
Compound—causes—Lactic dehydrogenase activity increased	9	0.00067024
Compound—causes—Aplasia pure red cell	6	0.00066955
Compound—causes—Retinal degeneration	4	0.00066773
Compound—causes—Muscle fatigue	1	0.00066611
Compound—causes—Abdominal cramps	7	0.00065791
Compound—causes—Drug hypersensitivity	4	0.00065591
Compound—causes—Haemorrhage intracranial	8	0.0006535
Compound—resembles—Tropicamide	6	0.00065345
Compound—causes—Chromaturia	3	0.00065299
Compound—causes—Somnambulism	5	0.00064515
Compound—causes—Redness	13	0.00064412
Compound—causes—Word finding difficulty	2	0.0006396
Compound—causes—Diabetes mellitus	24	0.0006393
Compound—causes—Abscess	18	0.00063719
Compound—causes—Feeling jittery	6	0.00063422
Compound—causes—Hepatomegaly	18	0.00063292
Compound—causes—Skin ulcer	21	0.00062981
Compound—causes—Asocial behaviour	2	0.00062753
Compound—causes—Antisocial behaviour	2	0.00062753
Compound—causes—Antisocial personality disorder	2	0.00062753
Compound—causes—Hyperthyroidism	15	0.00062681
Compound—causes—Supraventricular tachycardia	10	0.00062383
Compound—causes—Central nervous system neoplasm	4	0.00062382
Compound—causes—Uveitis	4	0.0006234
Compound—causes—Varicose vein	8	0.00062232
Compound—causes—Stridor	3	0.00061998
Compound—causes—Clumsiness	2	0.00061997
Compound—causes—Breast abscess	2	0.00061796
Compound—causes—Labyrinthitis	2	0.00061755
Compound—causes—Akinesia	4	0.00061364
Compound—causes—Shallow breathing	2	0.00061319
Compound—causes—Sprain	2	0.00060769
Compound—causes—Nail disorder	20	0.00060381
Compound—causes—Rash erythematous	10	0.0006036
Compound—causes—Haemorrhage urinary tract	2	0.00059988
Compound—causes—Thrombosis	13	0.00059976
Compound—causes—Cholecystitis	12	0.00059627
Compound—causes—Intentional injury	1	0.00059572
Compound—causes—Proteinuria	8	0.00059421
Compound—causes—Bipolar disorder	6	0.00059321
Compound—causes—Blood lactate dehydrogenase increased	9	0.00059015
Compound—causes—Enzyme induction	2	0.00058653
Compound—causes—Protein urine present	8	0.000586
Compound—causes—Sickness	3	0.00058542
Compound—causes—Periorbital oedema	6	0.00058213
Compound—causes—Gastric dilatation	1	0.00058062
Compound—causes—Stomach dilation procedure	1	0.00058062
Compound—causes—Aplasia	1	0.00057972
Compound—causes—Pain during injection	1	0.00057791
Compound—causes—Renal colic	1	0.00057788
Compound—resembles—Quinine	5	0.00057419
Compound—causes—Diabetes insipidus	2	0.00057399
Compound—causes—Abdominal distension	26	0.00056846
Compound—causes—Convulsive seizure	1	0.0005674
Compound—causes—Asthenopia	3	0.0005594
Compound—causes—Vaginal discharge	20	0.0005574
Compound—causes—Bipolar I disorder	6	0.00055641
Compound—causes—Blindness transient	2	0.00055524
Compound—causes—Mental retardation	7	0.00055425
Compound—causes—Hydronephrosis	4	0.00054983
Compound—binds—SLC22A7	61	0.00054911
Compound—causes—Abnormal involuntary movements	2	0.00054855
Compound—causes—Hepatitis granulomatous	1	0.00054758
Compound—causes—Heat stroke	2	0.0005432
Compound—causes—Blood creatine phosphokinase increased	9	0.0005424
Compound—causes—Duodenal ulcer	9	0.00054182
Compound—causes—Eye irritation	12	0.00053657
Compound—causes—Tooth abscess	12	0.00053491
Compound—causes—Anticholinergic syndrome	1	0.00053259
Compound—causes—Panic disorder	4	0.00053077
Compound—causes—Sialoadenitis	4	0.00053033
Compound—causes—Anxiety depression	4	0.00052968
Compound—causes—Electrocardiogram QT prolonged	8	0.00052825
Compound—causes—Avitaminosis	1	0.00052661
Compound—causes—Night blindness	6	0.00052349
Compound—causes—Dizziness postural	6	0.00052147
Compound—causes—Intestinal obstruction	15	0.00051876
Compound—causes—Ejaculation failure	3	0.00051704
Compound—causes—Retching	4	0.00051523
Compound—causes—Muscle contracture	2	0.00051493
Compound—causes—Swollen tongue	3	0.00051349
Compound—causes—Electrocardiogram T wave inversion	2	0.00051202
Compound—causes—Respiratory rate decreased	1	0.00050967
Compound—causes—Muscle stiffness	4	0.00050763
Compound—causes—Papanicolaou smear suspicious	1	0.00050698
Compound—causes—Livedo reticularis	1	0.00050432
Compound—causes—Hypopnoea	2	0.00050151
Compound—causes—Dermatitis atopic	10	0.00050133
Compound—causes—Leukaemoid reaction	1	0.00049874
Compound—causes—Granulomatous liver disease	1	0.00049834
